start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-10-03 00:04:00,2022-10-04 23:58:00,0.995148896380647,0,0.0,1.0,0.05,3.923001665121261e-05,0.0033395152209848124
2022-10-02 16:04:00,2022-10-04 15:59:00,0.9951498190855206,96,0.0,1.0,0.05,3.468942386496466e-05,0.003608415767171409
2022-10-02 08:04:00,2022-10-04 07:59:00,0.9951301250849931,192,0.0,1.0,0.05,4.872730765301257e-05,0.003347426447078951
2022-10-02 00:04:00,2022-10-03 23:58:00,0.9951219928494972,288,0.0,0.9800000190734863,0.05,0.00011200668429336868,0.0037595075848204603
2022-10-01 16:04:00,2022-10-03 15:59:00,0.9949806897682805,384,0.0,1.0,0.05,0.00014869646292944182,0.003214629863035279
2022-10-01 08:04:00,2022-10-03 07:59:00,0.9950485382209434,480,0.0,0.9399999976158142,0.05,0.00024978911229333976,0.004143399754810021
2022-10-01 00:04:00,2022-10-02 23:58:00,0.9951691551375802,576,0.0,0.8899999856948853,0.05,0.0003621970519579214,0.00458690439708825
2022-09-30 16:04:00,2022-10-02 15:59:00,0.9951084856793342,672,0.0,0.8199999928474426,0.05,0.0004825970323937493,0.0038226791912460705
2022-09-30 08:04:00,2022-10-02 07:59:00,0.9950847775205968,768,0.0,0.8100000023841858,0.05,0.0005494081326321848,0.004235266889968955
2022-09-30 00:04:00,2022-10-01 23:58:00,0.9950233031410763,864,0.0,0.8299999833106995,0.05,0.0006185622109825648,0.003760895987694531
2022-09-29 16:04:00,2022-10-01 15:59:00,0.9952680021382303,960,0.0,0.4000000059604645,0.05,0.0015045292372357078,0.0040596586027647945
2022-09-29 08:04:00,2022-10-01 07:59:00,0.9951983161164908,1056,0.0,0.23999999463558197,0.05,0.0021791673926748905,0.004360047726847067
2022-09-29 00:04:00,2022-09-30 23:58:00,0.9949460177641943,1152,0.0,0.23999999463558197,0.05,0.002286352512399286,0.004646478878047457
2022-09-28 16:04:00,2022-09-30 15:59:00,0.9954477199037954,1248,0.0,0.10999999940395355,0.05,0.003127060499143202,0.003945173811258998
2022-09-28 08:04:00,2022-09-30 07:59:00,0.9950458884537767,1344,1.0,0.0,0.05,0.005903183663224828,0.004289726435291963
2022-09-28 00:04:00,2022-09-29 23:58:00,0.9951312527336439,1440,1.0,0.029999999329447746,0.05,0.005841762498477173,0.004605895398165256
2022-09-27 16:04:00,2022-09-29 15:59:00,0.9950912303196423,1536,1.0,0.0,0.05,0.008040538687524182,0.003417644492677659
