start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-09-26 00:04:00,2022-09-27 23:58:00,0.994107443028047,0,0.0,1.0,0.05,5.007109397361229e-05,0.0032881259011616187
2022-09-25 14:49:00,2022-09-27 15:59:00,0.994817113517569,96,0.0,0.27000001072883606,0.05,0.0023396511221113266,0.004040107208470947
2022-09-25 06:49:00,2022-09-27 07:59:00,0.9947700656901806,192,1.0,0.009999999776482582,0.05,0.005588222099782621,0.003337051875549793
2022-09-24 22:49:00,2022-09-26 23:58:00,0.9949421855407635,288,1.0,0.0,0.05,0.006587875066649482,0.0033338219000953982
2022-09-24 14:49:00,2022-09-26 15:59:00,0.9930667128158509,384,1.0,0.0,0.05,0.007567550099793108,0.003399926983865412
2022-09-24 06:49:00,2022-09-26 07:59:00,0.9937236285179922,480,,,,,
2022-09-23 22:49:00,2022-09-25 23:58:00,0.9942429085027799,576,,,,,
2022-09-23 14:49:00,2022-09-25 14:44:00,0.994121640317679,672,,,,,
2022-09-23 06:49:00,2022-09-25 06:44:00,0.9945660425378178,768,,,,,
2022-09-22 22:49:00,2022-09-24 22:44:00,0.9931625383849223,864,,,,,
2022-09-22 14:49:00,2022-09-24 14:44:00,0.9934532627598035,960,,,,,
2022-09-22 06:49:00,2022-09-24 06:44:00,0.993077932785459,1056,,,,,
2022-09-21 22:49:00,2022-09-23 22:44:00,0.9928982149703238,1152,,,,,
2022-09-21 14:49:00,2022-09-23 14:44:00,0.9928578028938552,1248,,,,,
2022-09-21 06:49:00,2022-09-23 06:44:00,0.9924520927094266,1344,,,,,
2022-09-20 22:49:00,2022-09-22 22:44:00,0.9937044165219596,1440,,,,,
2022-09-20 14:49:00,2022-09-22 14:44:00,0.9933080241626593,1536,,,,,
2022-09-20 06:49:00,2022-09-22 06:44:00,0.9933693795542988,1632,,,,,
2022-09-19 22:49:00,2022-09-21 22:44:00,0.9937057592309875,1728,,,,,
2022-09-19 14:49:00,2022-09-21 14:44:00,0.9939525679658155,1824,,,,,
2022-09-19 06:49:00,2022-09-21 06:44:00,0.9941366155759435,1920,,,,,
2022-09-18 22:49:00,2022-09-20 22:44:00,0.9941571524517006,2016,,,,,
2022-09-18 14:49:00,2022-09-20 14:44:00,0.9940387754230484,2112,,,,,
2022-09-18 06:49:00,2022-09-20 06:44:00,0.994198969365315,2208,,,,,
2022-09-17 22:49:00,2022-09-19 22:44:00,0.9943610455903705,2304,,,,,
2022-09-17 14:49:00,2022-09-19 14:44:00,0.9936024526424296,2400,,,,,
2022-09-17 06:49:00,2022-09-19 06:44:00,0.9948566531997994,2496,,,,,
2022-09-16 22:49:00,2022-09-18 22:44:00,0.995154492302098,2592,,,,,
2022-09-16 14:49:00,2022-09-18 14:44:00,0.9953431633080204,2688,,,,,
2022-09-16 06:49:00,2022-09-18 06:44:00,0.9959965890593527,2784,,,,,
2022-09-15 22:49:00,2022-09-17 22:44:00,0.9959070258678264,2880,,,,,
2022-09-15 14:49:00,2022-09-17 14:44:00,0.995864514090243,2976,,,,,
2022-09-15 06:49:00,2022-09-17 06:44:00,0.9954775745801293,3072,,,,,
2022-09-14 22:49:00,2022-09-16 22:44:00,0.9958598916676459,3168,,,,,
2022-09-14 14:49:00,2022-09-16 14:44:00,0.996059139998367,3264,,,,,
2022-09-14 06:49:00,2022-09-16 06:44:00,0.9957282712349732,3360,,,,,
2022-09-13 22:49:00,2022-09-15 22:44:00,0.9958595843470901,3456,,,,,
2022-09-13 14:49:00,2022-09-15 14:44:00,0.9946159395307282,3552,,,,,
2022-09-13 06:49:00,2022-09-15 06:44:00,0.9949464379878636,3648,,,,,
2022-09-12 22:49:00,2022-09-14 22:44:00,0.9934198086320702,3744,,,,,
2022-09-12 14:49:00,2022-09-14 14:44:00,0.9669614395733807,3840,,,,,
2022-09-12 06:49:00,2022-09-14 06:44:00,0.9564562244437658,3936,,,,,
2022-09-11 22:49:00,2022-09-13 22:44:00,0.9486720282000041,4032,,,,,
2022-09-11 14:49:00,2022-09-13 14:44:00,0.9743548293196389,4128,,,,,
2022-09-11 06:49:00,2022-09-13 06:44:00,0.9937416501086048,4224,,,,,
2022-09-10 22:49:00,2022-09-12 22:44:00,0.9945563555368296,4320,,,,,
2022-09-10 14:49:00,2022-09-12 14:44:00,0.9944845316620946,4416,,,,,
2022-09-10 06:49:00,2022-09-12 06:44:00,0.9951750898215529,4512,,,,,
2022-09-09 22:49:00,2022-09-11 22:44:00,0.9950701353153683,4608,,,,,
2022-09-09 14:49:00,2022-09-11 14:44:00,0.9948542843377437,4704,,,,,
2022-09-09 06:49:00,2022-09-11 06:44:00,0.9947489602774559,4800,,,,,
2022-09-08 22:49:00,2022-09-10 22:44:00,0.9945402492996548,4896,,,,,
2022-09-08 14:49:00,2022-09-10 14:44:00,0.994645465493794,4992,,,,,
2022-09-08 06:49:00,2022-09-10 06:44:00,0.9940437546278841,5088,,,,,
2022-09-07 22:49:00,2022-09-09 22:44:00,0.9942445258378467,5184,,,,,
2022-09-07 14:49:00,2022-09-09 14:44:00,0.9944988877385956,5280,,,,,
2022-09-07 06:49:00,2022-09-09 06:44:00,0.9942419450885238,5376,,,,,
2022-09-07 00:04:00,2022-09-08 22:44:00,0.9943324857919364,5472,,,,,
